Unique Identifier,Player,Position,Age,WS,Salary,GS_Percent,G,All-Star
watfotr01,Trendon Watford,PF,22,2.1,1836096,0.193548387,62,0
jeromty01,Ty Jerome,SG,25,2.1,2439025,0.044444444,45,0
watanyu01,Yuta Watanabe,SF,28,2.1,2346614,0.017241379,58,0
nesmiaa01,Aaron Nesmith,SF,23,2,5634257,0.821917808,73,0
stewais01,Isaiah Stewart,C,21,2,5266713,0.94,50,0
morrima03,Marcus Morris,PF,33,2,17116279,1,65,0
baglema01,Marvin Bagley III,C,23,2,12500000,0.595238095,42,0
braunch01,Christian Braun,SG,21,1.9,2949120,0.078947368,76,0
smithja05,Jabari Smith Jr.,PF,19,1.9,9326520,1,79,0
willija07,Jaylin Williams,C,20,1.9,2000000,0.734693878,49,0
robinje02,Jeremiah Robinson-Earl,PF,22,1.9,1900000,0.465116279,43,0
dunnkr01,Kris Dunn,PG,28,1.9,2586665,0.136363636,22,0
stevela01,Lamar Stevens,SF,25,1.9,400000,0.403225806,62,0
covinro01,Robert Covington,PF,32,1.9,11692308,0,48,0
mathube01,Bennedict Mathurin,SG,20,1.8,6916080,0.217948718,78,0
josepco01,Cory Joseph,PG,31,1.8,2019706,0.032258065,62,0
wadede01,Dean Wade,PF,26,1.8,5709877,0.295454545,44,0
greenja05,Jalen Green,SG,20,1.8,9891480,1,76,0
alvarjo01,Jose Alvarado,PG,24,1.8,1836096,0.163934426,61,0
richajo01,Josh Richardson,SG,29,1.8,2891467,0.153846154,65,0
walkelo01,Lonnie Walker IV,SG,24,1.8,2019706,0.571428571,56,0
hachiru01,Rui Hachimura,PF,24,1.8,15740741,0.142857143,63,0
curryse01,Seth Curry,SG,32,1.8,4000000,0.114754098,61,0
youngth01,Thaddeus Young,PF,34,1.8,8000000,0.166666667,54,0
garubus01,Usman Garuba,C,20,1.8,2588400,0.013333333,75,0
kolokch01,Christian Koloko,C,22,1.7,1719864,0.327586207,58,0
saricda01,Dario Šarić,PF-C,28,1.7,2019706,0.210526316,57,0
wainris01,Ish Wainright,SF,28,1.7,1927896,0.033333333,60,0
greenje02,Jeff Green,PF,36,1.7,9600000,0.071428571,56,0
clarkjo01,Jordan Clarkson,SG,30,1.7,23487629,1,61,0
roziete01,Terry Rozier,SG,28,1.7,23205221,1,63,0
cancavl01,Vlatko Čančar,PF,25,1.7,2234359,0.15,60,0
sharpda01,Day'Ron Sharpe,C,21,1.6,2210040,0.0625,48,0
brookdi01,Dillon Brooks,SF,27,1.6,22627671,1,73,0
hernawi01,Willy Hernangómez,C,28,1.6,2559942,0.052631579,38,0
nnajize01,Zeke Nnaji,PF,22,1.6,4306281,0.094339623,53,0
mitchda01,Davion Mitchell,PG,24,1.5,5063640,0.1125,80,0
hayesja02,Jaxson Hayes,C,22,1.5,2165000,0.042553191,47,0
nworajo01,Jordan Nwora,SF,24,1.5,3000000,0.225806452,62,0
hylanbo01,Bones Hyland,PG,22,1.4,2306400,0.017857143,56,0
vincega01,Gabe Vincent,PG,26,1.4,10500000,0.5,68,0
suggsja01,Jalen Suggs,SG,21,1.4,7252080,0.358490566,53,0
wisemja01,James Wiseman,C,21,1.4,12119440,0.488888889,45,0
beaslma01,Malik Beasley,SG,26,1.4,2019706,0.333333333,81,0
gillan01,Anthony Gill,PF,30,1.3,1997238,0.13559322,59,0
bassech01,Charles Bassey,C,22,1.3,2600000,0.057142857,35,0
houseda01,Danuel House Jr.,SF,29,1.3,4310250,0.089285714,56,0
daniedy01,Dyson Daniels,PG,19,1.3,5784120,0.186440678,59,0
bitadgo01,Goga Bitadze,C,23,1.3,2066585,0.026315789,38,0
mclaujo01,Jordan McLaughlin,PG,26,1.3,2320000,0,43,0
johnske04,Keldon Johnson,SF,23,1.3,20000000,1,63,0
klebima01,Maxi Kleber,PF,31,1.3,11000000,0.135135135,37,0
moodymo01,Moses Moody,SG,20,1.3,3918480,0.047619048,63,0
agbajoc01,Ochai Agbaji,SG,22,1.3,4114200,0.372881356,59,0
princta02,Taurean Prince,PF,28,1.3,4516000,0.074074074,54,0
nembhan01,Andrew Nembhard,SG,23,1.2,2131905,0.84,75,0
jonesda03,Damian Jones,C,27,1.2,2586665,0.024390244,41,0
vassede01,Devin Vassell,SG,22,1.2,5887899,0.842105263,38,0
crowdja01,Jae Crowder,PF,32,1.2,2019706,0.166666667,18,0
shamela01,Landry Shamet,SG,25,1.2,10250000,0.225,40,0
sharpsh01,Shaedon Sharpe,SG,19,1.2,6313800,0.1875,80,0
matthwe02,Wesley Matthews,SF,36,1.2,2019706,0,52,0
payneca01,Cameron Payne,PG,28,1.1,6500000,0.3125,48,0
roddyda01,David Roddy,PF,21,1.1,2718240,0.057142857,70,0
smithde03,Dennis Smith Jr.,PG,25,1.1,2019706,0.277777778,54,0
alexani01,Nickeil Alexander-Walker,SG,24,1.1,4687500,0.050847458,59,0
robinor01,Orlando Robinson,C,22,1.1,1801769,0.032258065,31,0
brissos01,Oshae Brissett,PF,24,1.1,2165000,0.030769231,65,0
pokusal01,Aleksej Pokusevski,PF,21,1,5009633,0.735294118,34,0
thomaca02,Cam Thomas,SG,21,1,2240160,0.070175439,57,0
bazleda01,Darius Bazley,C,22,1,2019706,0.023255814,43,0
dedmode01,Dewayne Dedmon,C,33,1,7072674,0.026315789,38,0
mcderdo01,Doug McDermott,SF,31,1,13750000,0,64,0
mathega01,Garrison Mathews,SG,26,1,2000000,0,54,0
paytoga02,Gary Payton II,SG,30,1,8715000,0.045454545,22,0
liveris01,Isaiah Livers,PF,24,1,1836096,0.423076923,52,0
holidaa01,Aaron Holiday,PG,26,0.9,2019706,0.095238095,63,0
fernabr01,Bruno Fernando,C,24,0.9,2581522,0.102564103,39,0
reddica01,Cam Reddish,SF,23,0.9,2165000,0.5,40,0
bertada01,Dāvis Bertāns,PF,30,0.9,17000000,0.022222222,45,0
highsha01,Haywood Highsmith,PF,26,0.9,1902137,0.203703704,54,0
kuzmaky01,Kyle Kuzma,PF,27,0.9,25568182,1,64,0
greenaj01,A.J. Green,SG,23,0.8,1901769,0.028571429,35,0
holmeri01,Richaun Holmes,C,29,0.8,12046020,0.023809524,42,0
hortota01,Talen Horton-Tucker,SG,22,0.8,11020000,0.307692308,65,0
houstca01,Caleb Houstan,SF,20,0.7,2000000,0.078431373,51,0
okekech01,Chuma Okeke,SF,24,0.7,5266713,0.296296296,27,0
zelleco01,Cody Zeller,C,30,0.7,2019706,0.133333333,15,0
hardyja02,Jaden Hardy,SG,20,0.7,1719864,0.104166667,48,0
tateja01,Jae'Sean Tate,SF,27,0.7,6500000,0.225806452,31,0
joneska01,Kai Jones,C,22,0.7,3047880,0,46,0
knoxke01,Kevin Knox,SF-PF,23,0.7,3000000,0.079365079,63,0
mcbrimi01,Miles McBride,PG,22,0.7,1836096,0.03125,64,0
littlna01,Nassir Little,SF,22,0.7,6250000,0.074074074,54,0
rubiori01,Ricky Rubio,PG,32,0.7,6146342,0.060606061,33,0
mcgeeja01,JaVale McGee,C,35,0.6,5734280,0.166666667,42,0
lewiski01,Kira Lewis Jr.,PG,21,0.6,5722116,0,25,0
chrisma02,Max Christie,SG,19,0.6,1719864,0.073170732,41,0
pritcpa01,Payton Pritchard,PG,25,0.6,4037277,0.0625,48,0
jacksre01,Reggie Jackson,PG,32,0.6,5000000,0.588235294,68,0
lopezro01,Robin Lopez,C,34,0.6,2019706,0.054054054,37,0
terryda01,Dalen Terry,SG,20,0.5,3350760,0,38,0
robindu01,Duncan Robinson,SF,28,0.5,18154000,0.023809524,42,0
laravja01,Jake LaRavia,PF,21,0.5,3199920,0,35,0
loftoke01,Kenneth Lofton Jr.,PF,20,0.5,1719864,0.041666667,24,0
flynnma01,Malachi Flynn,PG,24,0.5,3873025,0.037735849,53,0
manntr01,Tre Mann,PG,21,0.5,3191400,0.074626866,67,0
coffeam01,Amir Coffey,SF,25,0.4,3666667,0.18,50,0
bantoda01,Dalano Banton,PG,23,0.4,2019706,0.064516129,31,0
dowtije01,Jeff Dowtin,PG,25,0.4,2019706,0,25,0
champju02,Julian Champagnie,SF,21,0.4,3000000,0.176470588,17,0
edwarke02,Kessler Edwards,SF,22,0.4,1927896,0.111111111,36,0
beaucma01,MarJon Beauchamp,SF,22,0.4,2609400,0.211538462,52,0
porteot01,Otto Porter Jr.,SF,29,0.4,6300000,0.25,8,0
diengou01,Ousmane Dieng,PF,19,0.4,4798440,0.025641026,39,0
millspa02,Patty Mills,PG,34,0.4,6802950,0.05,40,0
lenal01,Alex Len,C,29,0.3,2019706,0.076923077,26,0
templga01,Garrett Temple,SG,36,0.3,5401000,0,25,0
sprinja01,Jaden Springer,SG,20,0.3,2226240,0.125,16,0
isaacjo01,Jonathan Isaac,PF,25,0.3,17400000,0,11,0
minotjo01,Josh Minott,SF,20,0.3,1719864,0,15,0
chandke01,Kennedy Chandler,PG,20,0.3,1719864,0,36,0
yurtsom01,Omer Yurtseven,C,24,0.3,2800000,0,9,0
watsope01,Peyton Watson,SG,20,0.3,2303520,0.086956522,23,0
gayru01,Rudy Gay,PF,36,0.3,6479000,0,56,0
bostobr01,Brandon Boston Jr.,SF,21,0.2,1836096,0.045454545,22,0
walkeja01,Jabari Walker,SF,20,0.2,1719864,0,56,0
sochaje01,Jeremy Sochan,PF,19,0.2,5316960,0.946428571,56,0
thorjt01,JT Thor,PF,20,0.2,1836096,0.115942029,69,0
birchkh01,Khem Birch,C,30,0.2,6985000,0,20,0
samanlu01,Luka Šamanić,PF,23,0.2,2066585,0.571428571,7,0
jovicni01,Nikola Jović,PF,19,0.2,2352000,0.533333333,15,0
merrisa01,Sam Merrill,SG,26,0.2,1997238,0,5,0
cooksxa01,Xavier Cooks,PF,27,0.2,1719864,0.1,10,0
mcgowbr01,Bryce McGowens,SG,20,0.1,1719864,0.152173913,46,0
jonesca03,Carlik Jones,PG,25,0.1,1927896,0,7,0
martico01,Cody Martin,SF,27,0.1,7560000,0,7,0
theisda01,Daniel Theis,C,30,0.1,9108387,0.142857143,7,0
fournev01,Evan Fournier,SG,30,0.1,18857143,0.259259259,27,0
korkmfu01,Furkan Korkmaz,SG,25,0.1,5370370,0,37,0
whiteja03,Jack White,SF,25,0.1,1801769,0,17,0
prestja01,Jason Preston,PG,23,0.1,1836096,0,14,0
holidju01,Justin Holiday,SF,33,0.1,2019706,0.043478261,46,0
baldwpa01,Patrick Baldwin Jr.,SF,20,0.1,2337720,0,31,0
moorewe01,Wendell Moore Jr.,SG,21,0.1,2421720,0.068965517,29,0
willizi02,Ziaire Williams,SF,21,0.1,4810200,0.108108108,37,0
duartch01,Chris Duarte,SF,25,0,4124400,0.260869565,46,0
iveyja01,Jaden Ivey,SG,20,0,7614480,0.986486486,74,0
chrisjo01,Josh Christopher,SG,21,0,2485200,0.03125,64,0
noelne01,Nerlens Noel,C,28,0,2019706,0.235294118,17,0
cunnica01,Cade Cunningham,PG,21,-0.1,11055360,1,12,0
robyis01,Isaiah Roby,PF,24,-0.1,2066585,0.047619048,42,0
primojo01,Joshua Primo,SG,20,-0.1,4341600,0,4,0
branhma01,Malaki Branham,SG,19,-0.1,3071880,0.484848485,66,0
fontesi01,Simone Fontecchio,SF,27,-0.1,3044872,0.115384615,52,0
washity02,TyTy Washington Jr.,PG,21,-0.1,2320440,0.064516129,31,0
toddis01,Isaiah Todd,PF,21,-0.2,1836096,0.166666667,6,0
davisjo06,Johnny Davis,SG,20,-0.3,5050800,0.178571429,28,0
rolliry01,Ryan Rollins,PG,20,-0.3,1719864,0,12,0
bouknja01,James Bouknight,SG,22,-0.4,4570080,0,34,0
johnske07,Keon Johnson,SG,20,-0.5,2808720,0,40,0
